"image_path","image_url","category","subcategory","product","suggested_query","url"
"products/laboratoire/ionogramme/controles-ionogramme.jpg","/assets/images/products/laboratoire/ionogramme/controles-ionogramme.jpg","Laboratoire","Ionogramme","Controles ionogramme","Controles ionogramme Ionogramme biomedical laboratoire produit",""
"products/laboratoire/parasitologie/colorants-parasitologie.jpg","/assets/images/products/laboratoire/parasitologie/colorants-parasitologie.jpg","Laboratoire","Parasitologie","Colorants parasitologie","Colorants parasitologie Parasitologie biomedical laboratoire produit",""
"products/laboratoire/parasitologie/kits-parasitologie.jpg","/assets/images/products/laboratoire/parasitologie/kits-parasitologie.jpg","Laboratoire","Parasitologie","Kits parasitologie","Kits parasitologie Parasitologie biomedical laboratoire produit",""
"products/laboratoire/parasitologie/accessoires-parasitologie.jpg","/assets/images/products/laboratoire/parasitologie/accessoires-parasitologie.jpg","Laboratoire","Parasitologie","Accessoires parasitologie","Accessoires parasitologie Parasitologie biomedical laboratoire produit",""
"products/laboratoire/pcr-laboratoire/kits-pcr.jpg","/assets/images/products/laboratoire/pcr-laboratoire/kits-pcr.jpg","Laboratoire","PCR laboratoire","Kits PCR","Kits PCR PCR laboratoire biomedical laboratoire produit",""
"products/laboratoire/pcr-laboratoire/reactifs-pcr.jpg","/assets/images/products/laboratoire/pcr-laboratoire/reactifs-pcr.jpg","Laboratoire","PCR laboratoire","Reactifs PCR","Reactifs PCR PCR laboratoire biomedical laboratoire produit",""
"products/laboratoire/pcr-laboratoire/consommables-pcr.jpg","/assets/images/products/laboratoire/pcr-laboratoire/consommables-pcr.jpg","Laboratoire","PCR laboratoire","Consommables PCR","Consommables PCR PCR laboratoire biomedical laboratoire produit",""
"products/laboratoire/produits-chimiques/produits-chimiques.jpg","/assets/images/products/laboratoire/produits-chimiques/produits-chimiques.jpg","Laboratoire","Produits chimiques","Produits chimiques","Produits chimiques Produits chimiques biomedical laboratoire produit",""
"products/laboratoire/produits-chimiques/colorant-chimique.jpg","/assets/images/products/laboratoire/produits-chimiques/colorant-chimique.jpg","Laboratoire","Produits chimiques","Colorant chimique","Colorant chimique Produits chimiques biomedical laboratoire produit",""
"products/laboratoire/produits-chimiques/accessoire-chimie.jpg","/assets/images/products/laboratoire/produits-chimiques/accessoire-chimie.jpg","Laboratoire","Produits chimiques","Accessoire chimie","Accessoire chimie Produits chimiques biomedical laboratoire produit",""
